sc_cip,sc_cip_revised,field_name_1,osp_cip,field_name_2,mapping,manual,Note,have_data
100,1,"Agriculture, General.",1,Agriculture,2,,,yes
101,1.01,Agricultural Business and Management.,1,Agriculture,2,,,yes
102,1.02,Agricultural Mechanization.,1,Agriculture,2,,,yes
103,1.03,Agricultural Production Operations.,1,Agriculture,2,,,yes
104,1.04,Agricultural and Food Products Processing.,1,Agriculture,2,,,yes
105,1.05,Agricultural and Domestic Animal Services.,1,Agriculture,2,,,yes
106,1.06,Applied Horticulture and Horticultural Business Services.,1,Agriculture,2,,,yes
107,1.07,International Agriculture.,1,Agriculture,2,,,yes
108,1.08,Agricultural Public Services.,1,Agriculture,2,,,yes
109,1.09,Animal Sciences.,1,Agriculture,2,,,yes
110,1.1,Food Science and Technology.,1,Agriculture,2,,,yes
111,1.11,Plant Sciences.,1,Agriculture,2,,,yes
112,1.12,Soil Sciences.,1,Agriculture,2,,,yes
113,1.13,Agriculture/Veterinary Preparatory Programs.,1,Agriculture,2,,,yes
180,1.8,Veterinary Medicine.,1,Agriculture,2,,,yes
181,1.81,Veterinary Biomedical and Clinical Sciences.,1,Agriculture,2,,,yes
183,1.83,Veterinary/Animal Health Technologies/Technicians.,1,Agriculture,2,,,yes
199,1.99,"Agriculture, Agriculture Operations, and Related Sciences, Other.",1,Agriculture,2,,,yes
301,3.01,Natural Resources Conservation and Research.,,,0,,,yes
302,3.02,Natural Resources Management and Policy.,,,0,,,yes
303,3.03,Fishing and Fisheries Sciences and Management.,,,0,,,yes
305,3.05,Forestry.,,,0,,,yes
306,3.06,Wildlife and Wildlands Science and Management.,,,0,,,yes
399,3.99,"Natural Resources and Conservation, Other.",,,0,,,yes
402,4.02,Architecture.,4,Architecture,2,,,yes
403,4.03,"City/Urban, Community and Regional Planning.",4,Architecture,2,,,yes
404,4.04,Environmental Design.,4,Architecture,2,,,yes
405,4.05,Interior Architecture.,4,Architecture,2,,,yes
406,4.06,Landscape Architecture.,4,Architecture,2,,,yes
408,4.08,Architectural History and Criticism.,4,Architecture,2,,,yes
409,4.09,Architectural Sciences and Technology.,4,Architecture,2,,,yes
410,4.1,Real Estate Development.,4,Architecture,2,,,yes
499,4.99,"Architecture and Related Services, Other.",4,Architecture,2,,,yes
501,5.01,Area Studies.,,,0,,,yes
502,5.02,"Ethnic, Cultural Minority, Gender, and Group Studies.",5.0207,Women's Studies,3,1,,yes
901,9.01,Communication and Media Studies.,9.01,Media / Communications,3,1,,yes
901,9.01,Communication and Media Studies.,9.0101,Media / Communications,3,1,,yes
901,9.01,Communication and Media Studies.,9.0102,Media / Communications,3,1,,yes
