FOS,rank,old_rank,dwa,increase
Accounting,24,30,develop financial plans for clients.,6
Agriculture,30,35,"interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",5
Agriculture,44,51,develop new or advanced products or production methods.,7
Anthropology,24,31,evaluate plans or specifications to determine technological or environmental implications.,7
Anthropology,27,34,determine methods to minimize environmental impact of activities.,7
Architecture,19,24,coordinate construction project activities.,5
Architecture,28,33,"interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",5
Architecture,34,44,design materials for industrial or commercial applications.,10
Architecture,36,48,"design micro- or nano-scale materials, devices, or systems.",12
Architecture,38,50,communicate with other construction or extraction personnel to discuss project details.,12
Architecture,40,46,develop detailed project plans.,6
Architecture,41,47,"design layout of art or product exhibits, displays, or promotional materials.",6
Architecture,46,55,evaluate project designs to determine adequacy or feasibility.,9
Architecture,48,58,collaborate with others to determine design specifications or details.,10
Astronomy,18,23,evaluate characteristics of equipment or systems.,5
Astronomy,26,32,develop models of information or communications systems.,6
Astronomy,37,43,inspect gas systems or components to identify leaks or other potential hazards.,6
Astronomy,44,49,recommend changes to improve computer or information systems.,5
Astronomy,45,52,identify actions needed to bring properties or facilities into compliance with regulations.,7
Atmospheric Sciences,22,27,"analyze jobs using observation, survey, or interview techniques.",5
Atmospheric Sciences,33,39,develop models of information or communications systems.,6
Atmospheric Sciences,41,46,develop new or advanced products or production methods.,5
Basic Computer Skills,34,39,evaluate utility of software or hardware technologies.,5
Basic Computer Skills,42,49,obtain information about goods or services.,7
Basic Computer Skills,48,58,prepare medical instruments or equipment for use.,10
Basic Computer Skills,50,60,prepare medical supplies or equipment for use.,10
Basic Skills,12,18,collaborate with others to determine technical details of productions.,6
Basic Skills,15,20,read work orders or other instructions to determine product specifications or materials requirements.,5
Basic Skills,16,22,prepare reports detailing student activities or performance.,6
Basic Skills,28,35,collaborate with others to determine design specifications or details.,7
Basic Skills,32,37,collaborate with others to determine production details.,5
Basic Skills,34,42,"interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",8
Basic Skills,37,44,communicate with other construction or extraction personnel to discuss project details.,7
Basic Skills,38,49,obtain written authorization to perform activities.,11
Basic Skills,43,59,develop specifications for new products or processes.,16
Basic Skills,44,52,communicate situation details to appropriate personnel.,8
Basic Skills,50,57,collaborate with others to develop or implement marketing strategies.,7
Business,48,53,"interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",5
Chemistry,49,54,develop organizational methods or procedures.,5
Chemistry,50,55,measure physical or chemical properties of materials or objects.,5
Chinese,17,23,encourage patients or clients to develop life skills.,6
Chinese,18,27,obtain written authorization to perform activities.,9
Chinese,32,39,prepare reports detailing student activities or performance.,7
Chinese,35,40,"write articles, books or other original materials in area of expertise.",5
Chinese,37,43,read materials to determine needed actions.,6
Chinese,42,51,develop specifications for new products or processes.,9
Chinese,47,52,identify actions needed to bring properties or facilities into compliance with regulations.,5
Chinese,50,55,prepare information or documentation related to legal or regulatory matters.,5
Classics,19,26,develop specifications for new products or processes.,7
Classics,22,28,read materials to determine needed actions.,6
Classics,42,48,administer tests to assess educational needs or progress.,6
Classics,45,52,identify actions needed to bring properties or facilities into compliance with regulations.,7
Classics,49,55,develop new or advanced products or production methods.,6
Computer Science,27,33,develop technical specifications for systems or equipment.,6
Computer Science,33,40,analyze green technology design requirements.,7
