Field-of-Study,Detailed Work Activity,Coefficient,P-value
Business,advise others on career or personal development.,1.647,0.00957
Business,complete documentation required by programs or regulations.,1.805,0.00238
Business,conduct health or safety training programs.,-2.674,5.00E-05
Business,direct criminal investigations.,-2.175,0.00546
Business,evaluate program effectiveness.,2.392,2.00E-05
Business,explain project details to the general public.,-1.62,0.01865
Business,explain use of products or services.,-1.702,0.0421
Business,position construction forms or molds.,2.434,0.04461
Business,research methods to improve food products.,1.514,0.01467
Business,review laws or regulations to maintain professional knowledge.,-1.25,0.04926
Business,advise others on analytical techniques.,1.057,0.10011
Business,advise students on academic or career matters.,0.926,0.11984
Business,analyze logistics processes.,-0.743,0.30538
Business,apply paint to surfaces.,-0.957,0.15981
Business,"calculate weights, volumes or other characteristics of materials.",-0.909,0.33888
Business,coach others.,1.025,0.26945
Business,collaborate with other professionals to assess client needs or plan treatments.,0.061,0.94429
Business,collaborate with others to prepare or perform artistic productions.,-0.534,0.4926
Business,collaborate with others to resolve information technology issues.,-0.376,0.61088
Business,collect data about customer needs.,-0.634,0.50403
Business,compile data or documentation.,1.115,0.31364
Business,coordinate flight control or management activities.,-0.832,0.48336
Business,correspond with customers to answer questions or resolve complaints.,1.264,0.1399
Business,counsel family members of clients or patients.,1.531,0.12512
Business,"cultivate micro-organisms for study, testing, or medical preparations.",-0.974,0.23635
Business,determine appropriate locations for operations or installations.,0.116,0.90884
Business,determine geographic coordinates.,-0.828,0.274
Business,determine operational criteria or specifications.,-0.402,0.57141
Business,develop diagrams or flow charts of system operation.,-0.599,0.44878
Business,develop procedures for data entry or processing.,0.704,0.43369
Business,direct emergency management activities.,0.178,0.90067
Business,direct energy production or management activities.,-0.826,0.48314
Business,direct natural resources management or conservation programs.,-0.092,0.91723
Business,discuss service options or needs with clients.,0.909,0.27376
Business,document design or development procedures.,-0.988,0.21252
Business,draw detailed or technical illustrations.,-1.413,0.12206
Business,examine characteristics or behavior of living organisms.,0.797,0.33871
Business,explain technical medical information to patients.,-0.408,0.61566
Business,identify strategic business investment opportunities.,0.034,0.94734
Business,investigate crimes committed within organizations.,-0.629,0.31338
Business,maintain client information or service records.,1.224,0.07741
Business,manage construction activities.,0.83,0.43432
Business,manage environmental sustainability projects.,1.125,0.18206
Business,manage guest services.,0.615,0.5594
Business,measure environmental characteristics.,-1.099,0.22564
Business,operate conveyors or other industrial material moving equipment.,1.486,0.08802
Business,prepare data for analysis.,-0.18,0.84025
Business,prepare reports related to compliance matters.,-0.079,0.92644
Business,record images needed to address work issues.,-0.406,0.42088
Business,remove excess materials from finished construction projects.,-1.09,0.26663
Business,report news to the public.,-0.658,0.23607
Business,rescue people from hazardous situations.,-0.088,0.90451
Business,research human performance or health factors related to engineering or design activities.,1.38,0.05104
Business,supervise workers providing client or patient services.,1.098,0.30122
Business,test computer system operations to ensure proper functioning.,-1.117,0.3051
Business,test patient nervous system functioning.,-0.883,0.33904
Business,update technical knowledge.,-0.225,0.6493
Computer Science,"estimate labor or resource requirements for forestry, fishing, or agricultural operations.",-1.509,0.0367
Computer Science,explain technical medical information to patients.,-1.536,0.0097
Computer Science,design psychological or educational treatment procedures or programs.,0.064,0.90945
Computer Science,determine forestry techniques or methods.,-0.533,0.27379
Computer Science,develop computer or information systems.,0.492,0.27406
Computer Science,develop diagrams or flow charts of system operation.,-0.439,0.55361
Computer Science,develop educational programs.,-0.761,0.09133
Computer Science,develop guidelines for system implementation.,-0.846,0.25212
Computer Science,develop information communication procedures.,-0.127,0.87297
Computer Science,develop procedures for data management.,0.275,0.59015
Computer Science,direct emergency management activities.,-0.45,0.44353
Computer Science,present social services program information to the public.,-0.336,0.48705
Computer Science,update technical knowledge.,-0.685,0.18485
Biology,coordinate personnel recruitment activities.,-2.101,0.00095
Biology,direct technical activities or operations.,-1.714,0.0174
Biology,plant greenery to improve landscape appearance.,-2.294,0
Biology,prepare outgoing mail.,1.898,0.04589
Biology,test characteristics of materials or structures.,0.906,0.03263
Biology,communicate results of environmental research.,-0.604,0.14597
Biology,counsel clients or patients with substance abuse issues.,0.51,0.17785
Biology,estimate technical or resource requirements for development or production projects.,-0.44,0.34957
Biology,examine crime scenes to obtain evidence.,-0.036,0.9358
Biology,inspect structural components of vehicles to identify problems.,0.629,0.1954
Biology,interpret research or operational data.,-0.042,0.91869
Biology,maintain laboratory or technical equipment.,0.251,0.5518
Biology,monitor animal behavior or condition.,0.832,0.06736
Biology,prepare biological samples for testing or analysis.,0.424,0.29371
Biology,"prepare contracts, disclosures, or applications.",1.074,0.22498
Biology,relay information about incidents or emergencies to personnel using phones or two-way radios.,-0.599,0.07919
Psychology,diagnose neural or psychological disorders.,0.635,0.04753
Psychology,distribute instructional or library materials.,1.213,0.03618
Psychology,"evaluate patient functioning, capabilities, or health.",1.931,0.00049
Psychology,plan menu options.,1.621,0.01161
Psychology,refer clients to community or social service programs.,-0.973,0.01262
Psychology,select resources needed to accomplish tasks.,-1.44,0.03091
Psychology,advise others on the development or use of new technologies.,0.196,0.64421
Psychology,communicate with management or other staff to resolve problems.,-0.832,0.13891
Psychology,confer with family members to discuss client treatment plans or progress.,-0.684,0.1213
Psychology,design costumes or cosmetic effects for characters.,0.402,0.45381
Psychology,develop content for sales presentations or other materials.,0.347,0.62503
Psychology,develop technical methods or processes.,-0.567,0.3591
Psychology,establish treatment goals.,0.044,0.92241
Psychology,"estimate labor or resource requirements for forestry, fishing, or agricultural operations.",-0.451,0.3535
Psychology,explain medical procedures or test results to patients or family members.,-0.389,0.49644
Psychology,instruct patients in the use of assistive equipment.,0.418,0.52099
Psychology,manage content of broadcasts or presentations.,0.329,0.60656
Psychology,provide customer service to clients or users.,0.532,0.57221
Psychology,provide notifications to customers or patrons.,-0.648,0.49326
Psychology,refer customers to appropriate personnel.,-0.654,0.32641
